Species	Tissue	Download
Human	Acinus of salivary gland	 txt
Human	Adipose tissue of abdominal region	 txt
Human	Adipose tissue	 txt
Human	Adrenal gland	 txt
Human	Adrenal medulla	 txt
Human	Adventitia	 txt
Human	Alveolar system	 txt
Human	Alveolus	 txt
Human	Amnion	 txt
Human	Amniotic fluid	 txt
Human	Anterior cruciate ligament of knee joint	 txt
Human	Aorta	 txt
Human	Artery	 txt
Human	Articular cartilage of joint	 txt
Human	Ascending colon	 txt
Human	Ascitic fluid	 txt
Human	Bladder organ	 txt
Human	Blastocyst	 txt
Human	Blood plasma	 txt
Human	Blood serum	 txt
Human	Blood vessel	 txt
Human	Blood	 txt
Human	Body of stomach	 txt
Human	Bone marrow	 txt
Human	Brain	 txt
Human	Breast epithelium	 txt
Human	Breast	 txt
Human	Bronchus	 txt
Human	Brown adipose tissue	 txt
Human	Caecum	 txt
Human	Calcareous tooth	 txt
Human	Carotid artery segment	 txt
Human	Carotid body	 txt
Human	Cartilage element	 txt
Human	Cartilage tissue	 txt
Human	Cerebellum	 txt
Human	Cerebral cortex	 txt
Human	Cerebrospinal fluid	 txt
Human	Cervical lymph node	 txt
Human	Chest wall	 txt
Human	Chorionic villus	 txt
Human	Ciliary body	 txt
Human	Colon	 txt
Human	Colorectum	 txt
Human	Common bile duct	 txt
Human	Cornea	 txt
Human	Corneal endothelium	 txt
Human	Corneal epithelium	 txt
Human	Corneo-scleral junction	 txt
Human	Coronary artery	 txt
Human	Corpus luteum	 txt
Human	Corpus	 txt
Human	Cortex	 txt
Human	Cricoid cartilage	 txt
Human	Crypt of Lieberkuhn of small intestine	 txt
Human	Crypt of Lieberkuhn	 txt
Human	Decidua	 txt
Human	Deciduous tooth	 txt
Human	Dental pulp	 txt
Human	Dermis	 txt
Human	Dorsolateral prefrontal cortex	 txt
Human	Duodenum	 txt
Human	Ectocervix	 txt
Human	Embryo	 txt
Human	Embryoid body	 txt
Human	Embryonic brain	 txt
Human	Embryonic heart	 txt
Human	Embryonic intestine	 txt
Human	Embryonic pancreas	 txt
Human	Embryonic prefrontal cortex	 txt
Human	Embryonic testis	 txt
Human	Endometrial stroma	 txt
Human	Endometrium	 txt
Human	Entorhinal cortex	 txt
Human	Epicardium	 txt
Human	Epithelium of esophagus	 txt
Human	Epithelium of mammary gland	 txt
Human	Epithelium of small intestine	 txt
Human	Epithelium of stomach	 txt
Human	Epithelium of trachea	 txt
Human	Esophagus mucosa	 txt
Human	Esophagus	 txt
Human	Ethmoid sinus	 txt
Human	Excretory duct of salivary gland	 txt
Human	Eye trabecular meshwork	 txt
Human	Eye	 txt
Human	Fallopian tube	 txt
Human	Fat pad	 txt
Human	Fetal adrenal gland	 txt
Human	Fetal brain	 txt
Human	Fetal calvaria	 txt
Human	Fetal eyes	 txt
Human	Fetal female gonad	 txt
Human	Fetal femur	 txt
Human	Fetal gonad	 txt
Human	Fetal heart	 txt
Human	Fetal hip bone	 txt
Human	Fetal intestine	 txt
Human	Fetal kidney	 txt
Human	Fetal liver	 txt
Human	Fetal lung	 txt
Human	Fetal male gonad	 txt
Human	Fetal muscle	 txt
Human	Fetal pancreas	 txt
Human	Fetal rib	 txt
Human	Fetal spinal cord	 txt
Human	Fetal stomach	 txt
Human	Fetal testis	 txt
Human	Fetal thymus	 txt
Human	Fimbria of uterine tube	 txt
Human	Forebrain	 txt
Human	Gall bladder	 txt
Human	Gastric gland	 txt
Human	Gastrula	 txt
Human	Gingiva	 txt
Human	Granulation tissue	 txt
Human	Gut wall	 txt
Human	Hair follicle	 txt
Human	Head of femur	 txt
Human	Heart	 txt
